%time,field.data
1621612874654031909,-0.00296166438163
1621612874655009649,0.000923937736319
1621612874655963907,-0.000128431643875
1621612874656996120,0.00302535708763
1621612874658005938,0.000477084874717
1621612874659103189,-3.45757802389e-05
1621612874659965413,-0.00078672225845
1621612874660951502,6.9799870106e-05
1621612874661968215,0.000714360475884
1621612874662950672,-0.00230540923174
1621612874663974159,0.00374948779125
1621612874664969054,-0.00209199370571
1621612874665974575,0.00276847798297
1621612874667010711,-0.00315235710457
1621612874667994944,0.00166817829972
1621612874669074333,0.000938605216882
1621612874669997813,-0.000864670948397
1621612874670989426,0.00141777394969
1621612874672028115,0.000300902641803
1621612874673029840,-0.000228109159783
1621612874674043085,-0.00139431895985
1621612874675020885,0.00215623862854
1621612874675991750,0.000853076827623
1621612874677032399,-0.00277915189795
1621612874677996304,0.00117550673195
1621612874679023835,-0.00161030389223
1621612874679994610,0.00126777773402
1621612874680955013,-9.51688837736e-05
1621612874682014123,0.000561667937604
1621612874682975984,0.00106341253447
1621612874683960815,-0.0015912331871
1621612874684960809,0.000144711352346
1621612874685982074,0.000446441288604
1621612874687041576,-0.000276456229464
1621612874688096606,0.000719623206247
1621612874688939374,-0.00161614761629
1621612874689971926,0.000594186510106
1621612874690984786,-0.000872275585539
1621612874692003460,0.000796396703917
1621612874692996243,0.00171670005134
1621612874693974518,-0.00164697423044
1621612874694952619,-0.000596885415316
1621612874695954339,-0.00141295416511
1621612874696972716,-0.000517697745894
1621612874698033533,0.00195353154153
1621612874698972224,0.000415299428402
1621612874699953240,-0.00140428153916
1621612874700989079,-0.000952180752023
1621612874702022477,-0.00166670308754
1621612874703015736,-0.000305513458976
1621612874703981992,0.00377020852971
1621612874704973856,-0.00423878137712
1621612874706005660,0.00416933731029
1621612874707042869,-0.00469162509042
1621612874708135267,-0.0002254349869
1621612874708999867,-0.000345838419014
1621612874709982377,0.000909738356647
1621612874710994502,-0.00149449497266
1621612874712008091,0.00163178922052
1621612874712982499,-0.00261000141832
1621612874713985804,0.00133446421902
1621612874714962722,0.000774969956208
1621612874715948106,0.000998087520965
1621612874716944811,-0.00019997347811
1621612874717999173,-0.00108177358094
1621612874718975464,-0.000247114603225
1621612874719945933,0.000919989408432
1621612874720944095,-0.00196575520306
1621612874721957973,0.00283632177145
1621612874722950295,-0.000223002996957
1621612874723959849,6.87770123076e-05
1621612874724954003,0.000907437109565
1621612874726006344,-0.0016760568694
1621612874727104656,-0.000976558213406
1621612874727995857,-0.00128097080188
1621612874728994607,0.00132496814675
1621612874729998872,0.000212666728672
1621612874731199414,-0.0019749471234
1621612874732174339,0.00320590396452
1621612874733245918,-0.000521505334694
1621612874734084476,0.00069603770414
1621612874734989754,-0.00137251772836
1621612874736045451,0.00124156559733
1621612874737019174,-0.00112040900146
1621612874737956638,0.00218262257479
1621612874738946182,-0.00105928621086
1621612874739934589,-0.000913249986079
1621612874740953766,0.000449752413978
1621612874741965143,0.00165589709344
1621612874742963879,-0.00361507526891
1621612874744013565,0.000534973816579
1621612874745037935,0.00355059476942
1621612874745971465,-0.000697526553739
1621612874747052889,-0.0010000822388
1621612874747985588,-0.00197854554407
1621612874748990805,0.00193087498457
1621612874749970348,-0.00122638124911
1621612874750939754,1.06123646537e-05
1621612874751938628,-0.000123309091382
1621612874753004752,0.000964220999378
1621612874753995884,-0.00202662634707
1621612874754968629,0.000154985603129
1621612874755943915,0.00272477161067
1621612874756999397,-0.00157599255401
1621612874758049886,-0.000186346649222
